text,label
"I love this product",1
"This is awful",0
"Very useful and well made",1
"Terrible experience",0
"Highly recommend it to everyone",1
"I hate it",0
"Works perfectly",1
"Not worth the money",0
"Excellent quality and fast delivery",1
"It broke after one use",0
"Extremely satisfied",1
"Won't buy this again",0
"Impressed with the performance",1
"Complete waste of time",0
"Amazing customer support",1
"Very disappointed",0
"Smooth and easy to use",1
"The worst I’ve seen",0
"Great value for the price",1
"Full of bugs and errors",0
